Country,Continent,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Country Name,Image URL
Congo,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355906.8966,1060661.379,1901895.862,2647829.655,3215515.862,3701431.724,4125578.621,4467955.172,4762093.103,4926222.069,5056231.034,5152120,7451102.069,21756794.48,38553246.9,50792914.48,65160375.86,76374090.34,92999354.48,111895951.7,133570387.6,161628204.8,192778000,229483472.4,270704550.3,311323233.8,352037806.2,395256669,443408224.8,497881393.1,552812828.3,607915451.7,667013644.8,732269321.4,797689126.9,861090557.9,931963092.4,1011230323,1104269681,1198184981,1290669594,1376493159,1458927079,1534228743,1612704154,1698685378,1795832666,1874402790,1957855603,2054272841,2164025115,2268827637,2366262003,2450574876,2538773899,2620420118,2701753374,2796169297,2912007873,3029867766,3137661081,Congo,https://public.flourish.studio/country-flags/svg/cd.svg
Croatia,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14887497.24,30007951.72,46229070.34,60184150.34,72865024.83,85500602.07,98842110.34,109818749.7,120385949,130344871,139893764.8,149407362.1,158227382.1,166439713.1,173952584.1,180857766.2,187257031,194341049,201059159.3,207146637.9,212597013.8,218092686.9,223405406.2,228508111,233777886.2,233777886.2,233777886.2,233777886.2,233777886.2,Croatia,https://public.flourish.studio/country-flags/svg/hr.svg
Cuba,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82358.62069,198837.2414,287666.8966,349435.8621,451795.8621,540625.5172,642985.5172,786524.8276,882413.7931,1231261.379,1717177.241,2107204.138,2421931.724,2599591.034,2695480,2763720,2846078.621,3058446.207,3311404.828,3701431.724,4173228.966,4966813.103,6321612.414,7731121.379,8818843.448,9640076.552,10406600,11350782.76,12500273.79,14046262.76,15654020.69,17405317.93,19047195.86,20689073.79,22982761.38,26478884.83,30780946.21,35888945.52,42219970.34,49612244.83,57408076.55,65203908.28,71809069.66,78395994.48,84580538.62,90765082.76,97773801.38,106374394.5,116585686.9,127508204.8,140169666.2,152988197.2,166154399.3,182002551,198831358.6,218964511.7,238008766.2,260222062.8,283611911,304658656.6,325453620,345803846.9,366898831,386321346.9,407663995.2,429811993.1,450839913.8,470974243.4,491108573.1,511242902.8,531364878.6,531364878.6,531364878.6,531364878.6,531364878.6,Cuba,https://public.flourish.studio/country-flags/svg/cu.svg
Denmark,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668869.6552,1668938.621,2335455.172,3335524.138,4672675.172,8006434.483,10673677.24,13340920,15346940.69,20347873.79,31683361.38,46019644.14,61732492.41,81736813.1,106408514.5,137415358.6,169509924.8,206851323.4,247193517.2,294536782.1,347024519.3,403036617.2,464716753.1,526729853.1,596268177.9,672951113.1,752301291,851989342.1,973347122.8,1089372183,1213065419,1335758586,1466142871,1592828666,1708033081,1811813179,1907838625,1996115889,2079286919,2154138551,2222417966,2281823239,2337448839,2390060114,2437433970,2483525972,2522159812,2556485709,2580567958,Denmark,https://public.flourish.studio/country-flags/svg/dk.svg
Ecuador,South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54709.65517,109419.3103,164128.9655,218838.6207,273548.2759,328257.931,410616.5517,506505.5172,663575.1724,868883.4483,1388919.31,2442521.379,3783202.069,5295071.034,7005777.241,8558825.517,10132463.45,11719631.72,13395629.66,15256346.21,17206480.69,19238385.52,21325000,23445734.48,24848184.14,26907737.93,28994352.41,31608062.07,33968224.83,36068369.66,38196163.45,40508675.86,42821188.28,45195469.66,47637991.03,50203462.07,52878352.41,55717371.72,58905826.9,61991333.79,64871532.41,67676431.72,70166603.45,72629714.48,75270484.83,77596527.59,79820210.34,82344502.07,85278233.79,87844881.38,90045033.1,91883395.17,93349966.9,94816538.62,96283110.34,124963911.7,201603314.5,266508378.6,325546567.6,394674275.9,461994800.7,536498173.8,615401850.3,690844700,768648300.7,846451901.4,934156184.8,1029553352,1133705828,1242258608,1306494214,1419389059,1523658602,1629860043,1741410089,1860835972,1988951277,2129900997,2273569140,2416743719,2560993667,2700843311,2839959375,2987687210,3137578134,3281753371,3435462794,3629304986,3824817880,4021680279,4209524998,4395541943,4574210735,4752887763,4936307470,5121703197,5314930639,5519017066,5718167859,5919811764,6114642259,6304312397,6499029354,6675294451,Ecuador,https://public.flourish.studio/country-flags/svg/ec.svg
Egypt,Africa,0,0,0,0,0,0,0,0,0,0,0,20589.65517,212367.5862,301197.2414,985362.069,1190670.345,1587756.552,2524880,4454424.828,5986883.448,6999306.207,8251157.241,9434768.276,10481311.03,11596682.07,12827943.45,14011554.48,15277524.14,17111180,18971896.55,20922031.03,22899226.21,24753471.72,26381819.31,27893688.28,29139068.28,30390919.31,31561000,33106988.97,37663773.79,44019506.21,52373023.45,60460051.72,69251834.48,78508355.17,87744874.48,96516067.59,105642579.3,118511702.1,134172193.8,152008129.7,167962759.3,184054457.2,200139095.9,213617084.1,226075590.3,237904641.4,254304007.6,276087862.8,297673469,320380917.2,346509189.7,378904364.8,417545853.1,461024733.8,505344849,548153095.2,586336316.6,645017422.1,729135575.9,841366256.6,943662722.8,1017005428,1075015899,1126006474,1206286128,1319925729,1462916178,1635257474,1814098043,2017842093,2237814910,2465737686,2714978992,3001206377,3309538817,3590969989,3907389457,4210022679,4514619567,4825907504,5136641286,5451254746,5776417758,6094533813,6413272264,6721693533,7021303018,7315233876,7598211037,7864467634,8121714197,8376501179,8630138082,8868505697,9095424286,9322305226,9553621178,9790713999,10031950634,10271613632,10508327603,10745911046,10980997257,11221413837,11463820553,11695307693,11915458169,12140165430,12357812204,12563074006,Egypt,https://public.flourish.studio/country-flags/svg/eg.svg
Equatorial Guinea,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679458.6207,2373693.103,4067927.586,6439855.862,12215548.28,32545773.79,60668889.66,94552402.76,133529208.3,197533033.8,273487683.4,360528391.7,473837970.3,593351506.2,711341995.9,832642713.8,952923361.4,1059936623,1158833443,1255807190,1359549638,1450097059,1540949206,1623761388,1694532739,1755872851,1811447272,1862042526,1913286059,Equatorial Guinea,https://public.flourish.studio/country-flags/svg/gq.svg
France,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,376496.5517,376496.5517,376496.5517,376496.5517,376496.5517,732403.4483,1060661.379,1437157.931,1820125.517,2298982.069,2777838.621,3284344.138,3729080.69,4187347.586,4686793.793,5193299.31,5706275.862,6226311.724,6732817.241,7245793.793,7786419.31,8319985.517,8840021.379,9318877.931,9797734.483,10290121.38,10768977.93,11240775.17,11637861.38,12082597.93,12547924.14,12951481.38,13149730.34,13505637.24,13848013.79,14203920.69,14601006.9,15476949.66,17467675.17,19862546.21,22373307.59,25828251.72,31835136.55,40482791.72,50136398.62,59618817.24,70688404.14,84214631.03,99013298.62,115227946.2,132482665.5,151954008.3,172465422.8,192525041.4,211900495.2,230290586.9,247387648.3,263185208.3,275917262.8,286070315.9,294649731,302038475.9,309071902.1,316303577.2,323364064.1,330923997.2,339113385.5,355951017.2,375976515.9,394068351.7,412530213.1,431042666.2,454220735.2,480267237.2,507609711,535767535.2,563109420.7,588696479.3,613268173.8,638366963.4,662288613.1,686636174.5,708527095.9,727849604.8,743767761.4,758009920,771213771.7,783901705.5,796153726.9,808035134.5,818398790.3,828431246.9,837147142.1,845370650.3,852979410.3,860484633.8,867470409.7,874432066.2,881299010.3,887600033.1,893791636.6,899737340.7,906010714.5,912207024.1,912207024.1,912207024.1,912207024.1,912207024.1,France,https://public.flourish.studio/country-flags/svg/fr.svg
Gabon,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183611.034,4638555.172,9790086.897,15263405.52,20559064.83,26217102.07,32292226.9,39530961.38,48185675.86,58085770.34,81655042.76,113407232.4,147800192.4,184902162.8,224549602.8,267672576.6,319648513.8,389446856.6,466859842.1,544334596.6,621419324.1,693940795.9,760975418.6,821831968.3,874184402.1,927494549,981331202.8,1041058851,1100074686,1156826246,1209705187,1270541147,1340510678,1432825279,1533452219,1632327861,1736477984,1851670634,1973150776,2098011151,2222487970,2337755919,2453892752,2548436919,2637940150,2725393239,2818995577,2912512026,3004860747,3087511152,3171396349,3253462597,3335791803,3415454356,3496171687,3571925734,3644827821,3716875730,3789824290,3865410679,3937172099,4003256656,4077670611,4148578442,Gabon,https://public.flourish.studio/country-flags/svg/ga.svg
Georgia,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077133.103,1817772.414,2487818.621,2858432.414,3304345.517,4295002.069,5106822.759,5921584.828,6664577.241,7405216.552,7953489.655,8990620,9733612.414,10474251.72,10844865.52,11215479.31,11586681.38,11957295.17,12327908.97,12698522.76,13069724.83,13440338.62,13810952.41,14106855.17,14255688.97,14255688.97,14255688.97,14255688.97,14255688.97,Georgia,https://public.flourish.studio/country-flags/svg/ge.svg
Germany,Europe,342376.5517,643573.7931,985950.3448,1417156.552,2033081.379,2573706.897,3127862.759,3853206.897,4817979.31,5755102.759,6712815.862,7649939.31,8573532.414,9401236.552,10153641.38,10830746.9,11467261.38,12089657.24,12349675.17,12602633.79,12842062.07,13102080,13389158.62,13738006.21,14141563.45,14682188.97,15332233.79,15995808.97,16625264.14,17330018.62,18520688.97,20087267.59,21660905.52,23296312.41,25471756.55,28393134.48,31437462.07,34522968.97,38689726.9,43752428.97,50977044.83,57148058.62,62238409.66,67102862.76,72042615.17,75757577.24,80204942.76,84152862.07,88497279.31,94257676.55,101913498.6,111265908.3,123273206.9,138249533.8,156489615.2,178020511.7,202034520.7,229161685.5,259524955.9,294485602.1,332319975.9,374785845.5,421350233.1,472101380,525007969.7,579494668.3,633871947.6,688652784.1,743810117.2,798276814.5,850444529.7,901859840,951112648.3,996965222.1,1039691110,1079352080,1117508241,1154918468,1189982062,1223054343,1257863802,1291457295,1323184189,1353791594,1383734835,1414342240,1444576090,1472570373,1502064760,1530395537,1557196209,1583696860,1607275545,1630043586,1651905681,1673927200,1696131672,1717033114,1739054632,1759583107,1783468283,1807678188,1833380549,1860365939,1885779457,1910759414,1935973506,1960726390,1983182644,2003711119,2022000027,2041035457,2060122656,2079368689,2097316986,2115255870,2132691778,2132691778,2132691778,2132691778,2132691778,Germany,https://public.flourish.studio/country-flags/svg/de.svg
Ghana,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137068.2759,274136.5517,1019482.069,1763062.759,2506643.448,3250224.138,3995569.655,4366771.724,4479132.414,4479132.414,4479132.414,4479132.414,4479132.414,4479132.414,4891513.793,5489790.345,6013355.862,7508753.103,9758320,11627860.69,13497401.38,15740497.24,18364795.86,20982035.17,23599274.48,26216513.79,28840812.41,31083908.28,33327004.14,35570100,37819666.9,40062762.76,42750595.17,71356685.52,100732240.7,137339471,176603355.2,214871876.6,251747360.7,251747360.7,251747360.7,251747360.7,251747360.7,Ghana,https://public.flourish.studio/country-flags/svg/gh.svg
Greece,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2986676.552,11081352.41,20550828.97,30795064.83,40638096.55,50481128.28,59950604.83,68321770.34,75176948.97,81285605.52,87512505.52,92582855.17,96867268.28,100921077.2,104433084.1,107682720,111275909,113852557.2,114132576.6,116139773.8,118206975.2,119616484.1,120796565.5,121934879.3,122930830.3,123616760,124082086.2,124456229.7,124892142.1,125763378.6,126416953.1,127041702.1,127507028.3,127940587.6,128342380,129529520.7,129529520.7,129529520.7,129529520.7,129529520.7,Greece,https://public.flourish.studio/country-flags/svg/gr.svg
Guatemala,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88829.65517,136480,341788.2759,875354.4828,2752542.759,4625024.828,6871650.345,9491242.759,11368431.03,12492037.93,14364520,15862270.34,16988818.62,18487157.24,19985495.86,21633844.83,23436910.34,26058855.86,29164952.41,32734022.07,37553177.93,43546532.41,52448911.03,61064211.03,68831217.24,76727055.86,83466932.41,91705147.59,99146248.97,105571397.9,113117212.4,119042326.9,124873317.2,129933666.2,134411033.8,138510728.3,142478649,146219495.2,149984460.7,153744720,157116129,157116129,157116129,157116129,157116129,Guatemala,https://public.flourish.studio/country-flags/svg/gt.svg
Hungary,Europe,13530.34483,34120,61768.96552,82358.62069,95888.96552,130008.9655,150598.6207,164128.9655,177659.3103,198248.9655,218838.6207,232368.9655,252958.6207,266488.9655,294137.931,341788.2759,382967.5862,444736.5517,444736.5517,444736.5517,444736.5517,444736.5517,444736.5517,444736.5517,444736.5517,444736.5517,444736.5517,444736.5517,444736.5517,444736.5517,444736.5517,444736.5517,444736.5517,444736.5517,444736.5517,444736.5517,444736.5517,458266.8966,752404.8276,1737766.897,3475533.793,6362791.724,10919576.55,16659972.41,22359188.97,26840674.48,31527468.28,35427148.97,38745613.1,42207616.55,45710799.31,49124564.14,53216022.76,59004068.97,67330525.52,78284222.07,86507730.34,91125695.86,96804322.76,103892458.6,112218915.2,122187249.7,133414494.5,145428264.1,157750290.3,170085846.9,181750769,193285682.1,205648299.3,217648538.6,230900629,244276257.2,257802484.1,271410481.4,285073188.3,298797664.1,313452204.1,328442061.4,343493687.6,357361702.8,377900177.9,398383943.4,420323691.7,441869883.4,463750804.1,485221108.3,506691412.4,526545722.8,548308988.3,566622015.9,586509269.7,603482793.1,620108057.2,636528601.4,654655145.5,671469246.2,686996787.6,705073328.3,719726691.7,733507642.1,748198655.2,762639062.8,774069262.8,785704771,798423883.4,809559357.2,820165971,829257774.5,838612537.2,847846115.2,856047269,863367185.5,870677101.4,877886422.1,884345102.8,891002032.4,898400777.9,898400777.9,898400777.9,898400777.9,898400777.9,Hungary,https://public.flourish.studio/country-flags/svg/hu.svg
India,Asia,985362.069,2291922.759,3769671.724,6061594.483,9147101.379,12916773.1,16584084.83,20545534.48,25149969.66,31239213.1,36835481.38,42719416.55,49212217.24,56443892.41,63196711.03,70681344.83,78425996.55,85794740,93094655.17,101058145.5,109062815.2,117738119.3,126208115.2,134555161.4,142915737.9,151132775.2,158658588.3,166307351,167483902.8,168899882.8,170364101.4,172005979.3,173641386.2,175173844.8,176979851.7,178895277.9,180701284.8,182678480,184956872.4,187084666.2,189608957.9,192256787.6,194808728.3,197313018.6,199857900,202019813.8,204024657.9,205728304.8,207445482.1,209176189.7,210948076.6,212788203.4,214587739.3,216448455.9,218548600.7,220922882.1,223631892.4,226642100,229645836.6,232724872.4,235830969,239340622.8,246715837.2,258018381.4,273152366.2,293827909.7,325621278.6,364392775.9,404436713.8,450432826.9,497017804.1,546175311.7,596618790.3,645865127.6,697109249.7,753778451.7,813020184.1,882702636.6,959815013.1,1047655188,1111959623,1214413159,1350431950,1523908619,1716801921,1923433230,2139779914,2349709097,2570598447,2806286465,3040072587,3260236593,3459916834,3650627632,3872146438,4122872552,4360961912,4604422230,4841793306,5078610225,5312348108,5546175410,5787288508,6029400498,6277991759,6516936472,6763543478,7012860083,7271426737,7531395253,7813750019,8107122014,8398224442,8688793303,8973682950,9255367081,9530557823,9807218666,10077789677,10335155073,10575623420,India,https://public.flourish.studio/country-flags/svg/in.svg
Indonesia,Asia,2127793.793,5918055.172,8217037.241,13662706.9,19806660,27215994.48,34947115.86,44374824.83,54090200.69,64516802.07,74936932.41,86369485.52,96761966.9,107202098.6,117936368.3,128869475.2,140705585.5,152958783.4,165027262.8,179805340.7,195985868.3,212125216.6,228422222.8,247804735.9,267823175.2,288799915.9,309454869.7,334727789,364201586.2,400045234.5,434465843.4,465923895.2,500604522.1,538473015.9,579899402.1,621510506.9,665557073.8,715241088.3,765855755.2,820240093.8,874556192.4,921661205.5,942753836.6,985192645.5,1004752818,1011430337,1013496362,1021111005,1050851879,1093256568,1141675201,1198837379,1258913874,1330662352,1408171226,1491666984,1581244926,1689342969,1801388931,1927603517,2069971570,2215589259,2371305292,2523702860,2680506614,2848368190,3012085363,3188236334,3395694170,3617437108,3912403920,4220495754,4594889808,5057027560,5531945017,5983030241,6503858511,7084965055,7646696146,8190914263,8731644494,9278716926,9734260106,10217853454,10730241142,11184114794,11665559760,12143273291,12603646215,13093715893,13602963953,14157175701,14682137785,15207925220,15734324462,16257399946,16782334381,17300323631,17807977463,18277343360,18768643711,19235072347,19668345167,20062748248,20442802692,20810304506,21153932320,21481200183,21819363503,22150549871,22483208106,22800022306,23105083344,23397508804,23677768719,23955400806,24247992748,24528283253,24798692489,25059898737,25308915322,Indonesia,https://public.flourish.studio/country-flags/svg/id.svg
Iran,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654486310.3,1385809684,2278696552,3255548623,4413591423,5731203463,7295783123,9031584001,11052449832,13126818176,14970436490,17002174835,18956340184,20768145716,21866128493,22373491716,22826133519,23647763708,24488154015,25189547678,25944530919,26647167020,27445762680,28248857474,29232950044,30346694495,31539678529,32741611415,34002486013,35268085055,36536913142,37813850613,39092983528,40398284720,41616901109,42928207420,44226786383,45452281482,46834908594,48263668299,49685849315,51126849275,52585869891,54059735059,55477456355,56928108158,58382151960,59616924169,60777760692,61968525749,63201684318,64680468649,66263430753,67759476862,68838848355,69815400993,Iran,https://public.flourish.studio/country-flags/svg/ir.svg
Iraq,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307668.2759,950653.7931,1778357.931,2606062.069,3427295.172,4262058.621,5048583.448,11438435.86,35781291.03,62422540,90562127.59,118872903.4,145986537.9,163138309,173859048.3,191613213.8,216051369.7,244539804.8,276059037.2,308077715.9,340246993.1,363686256.6,391511116.6,436556575.9,495340041.4,622054073.8,814892666.2,1024418292,1251841622,1467182943,1617685674,1862733161,2149672361,2474425344,2809522570,3145912827,3533622505,3955253346,4397739742,4866849739,5280691219,5788596245,6301179828,6823199357,7394084608,7889486418,8569560963,9235096271,9999329561,10817080071,11610658326,12476663341,13651027267,14547783226,14852265400,15184113578,15555986282,15970169550,16447982500,17085554703,17887779437,18823027462,19773791851,20494223885,20589616346,20768502211,20921289806,21090927387,21268990255,21464434321,21855396576,22568197496,23445793898,24326967606,25174457814,25885124469,26336840914,27020636893,27635931088,28306559688,29025544564,29841882624,30661084411,31487648471,32416751954,33451996875,34491483853,35578005251,36916340484,38405098444,39926556895,41479696353,43082148036,44464419829,Iraq,https://public.flourish.studio/country-flags/svg/iq.svg
Israel,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7059.310345,150598.6207,520035.8621,1128901.379,2004844.138,2887257.931,3810851.034,4734444.138,5767456.552,7128726.897,8524705.517,9810676.552,10727210.34,11534324.83,12211430.34,12738525.52,13169731.72,13497989.66,13765066.9,14038615.17,14278043.45,14524531.03,14688660,14852788.97,14996328.28,28097820,41536982.07,41909948.97,42282915.86,42657647.59,43030614.48,43403581.38,43515942.07,43665364.14,43777136.55,43851847.59,43926558.62,44001269.66,44075980.69,44113042.07,44150103.45,44224814.48,44336586.9,44411297.93,44486008.97,44516011.03,44546013.1,44583074.48,44605428.97,44633666.21,44670727.59,44707788.97,44744850.34,44782500,44819561.38,44856622.76,45001926.9,45147819.31,45293123.45,45438427.59,45583731.72,45729624.14,45729624.14,45729624.14,45729624.14,45729624.14,Israel,https://public.flourish.studio/country-flags/svg/il.svg
